CandidateID,Name,Age,Skills,Interests,Extracurriculars,Bodily Activeness,Logical Reasoning,STEM Avg_score,Humanities Avg_score,Languages Avg_score,Intrapersonal Score,Interpersonal Score,Grade_3 Score,Grade_6 Score,Grade_9 Score,KCSE Score,Recommended_Career,Recommended Course
ID0026,Student 26,17,"Programming, Teamwork, Critical Thinking","Business, Management","Coding Club, Hackathons",62,60,74,62,64,66,89,97,73,70,65,Cryptographer,BBA in Business Administration
ID0027,Student 27,18,"Leadership, Communication, Data Analysis","Science, Technology","Football, Drama Club",57,50,66,61,84,57,90,91,78,67,55,Public Speaker,BA in Journalism and Mass Communication
ID0028,Student 28,19,"Physics, Problem Solving, Research","Science, Innovation","Student Council, Debate Club",52,75,61,80,71,76,88,87,60,65,56,Human Rights Advocate,LLB in Law
ID0029,Student 29,19,"Chemistry, Problem Solving, Innovation","Technology, Engineering","Science Club, Robotics",68,88,78,61,64,90,55,96,65,67,73,Biologist,BSc in Computer Science
ID0030,Student 30,17,"Mathematics, Logical Reasoning, Research","Business, Management","Physics Club, Volunteering",91,90,80,70,65,89,51,89,80,74,81,Computer Scientist,MBBS in Medicine
ID0031,Student 31,18,"Programming, Teamwork, Critical Thinking","Science, Technology","Math Club, Chess",64,66,68,63,72,53,91,87,70,67,64,Architect,BBA in Business Administration
ID0032,Student 32,19,"Leadership, Communication, Data Analysis","Science, Innovation","Coding Club, Hackathons",56,65,61,75,71,95,93,89,78,54,58,Biologist,BA in Political Science
ID0033,Student 33,19,"Physics, Problem Solving, Research","Technology, Engineering","Football, Drama Club",68,95,78,74,71,75,85,86,64,60,60,Mathematician,BSc in Chemistry
ID0034,Student 34,19,"Chemistry, Problem Solving, Innovation","Business, Management","Student Council, Debate Club",65,80,68,72,61,78,90,95,73,73,64,Accountant,BBA in Business Administration
ID0035,Student 35,19,"Mathematics, Logical Reasoning, Research","Science, Technology","Science Club, Robotics",75,90,83,63,73,81,57,89,79,74,82,Astronomer,BEng in Engineering
ID0036,Student 36,19,"Programming, Teamwork, Critical Thinking","Science, Innovation","Physics Club, Volunteering",69,51,71,67,65,90,57,88,77,63,73,Physicist,BArch in Architecture
ID0037,Student 37,18,"Leadership, Communication, Data Analysis","Technology, Engineering","Math Club, Chess",93,77,77,61,66,76,70,94,76,80,79,Cryptographer,BSc in Software Engineering
ID0038,Student 38,18,"Physics, Problem Solving, Research","Business, Management","Coding Club, Hackathons",72,78,75,64,70,75,56,94,65,72,80,Scientist,BSc in Data Science
ID0039,Student 39,17,"Chemistry, Problem Solving, Innovation","Science, Technology","Football, Drama Club",72,69,61,68,62,85,82,82,69,67,63,Meteorologist,BSc in Astronomy
ID0040,Student 40,19,"Mathematics, Logical Reasoning, Research","Science, Innovation","Student Council, Debate Club",57,65,67,83,71,56,76,81,67,59,53,Human Rights Advocate,LLB in Law
ID0041,Student 41,17,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Science Club, Robotics",55,88,77,65,67,77,83,86,75,67,78,Digital Marketer,BSc in Computer Science
ID0042,Student 42,18,"Leadership, Communication, Data Analysis","Business, Management","Physics Club, Volunteering",58,67,70,62,68,79,76,95,61,67,62,Marketing Manager,BBA in Business Administration
ID0043,Student 43,19,"Physics, Problem Solving, Research","Science, Technology","Math Club, Chess",90,90,76,69,66,94,79,86,90,76,78,Mechanical Engineer,BEng in Mechanical and Production Engineering
ID0044,Student 44,19,"Chemistry, Problem Solving, Innovation","Science, Innovation","Coding Club, Hackathons",82,81,78,72,67,80,60,87,88,75,79,Chemical Analyst,BEng in Chemical Engineering
ID0045,Student 45,18,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Football, Drama Club",80,77,75,69,84,79,84,94,85,75,78,Computer Scientist,BEng in Telecommunication Engineering
ID0046,Student 46,19,"Programming, Teamwork, Critical Thinking","Business, Management","Student Council, Debate Club",50,95,82,68,68,93,83,86,63,71,78,Cryptographer,BSc in Cybersecurity
ID0047,Student 47,17,"Leadership, Communication, Data Analysis","Science, Technology","Science Club, Robotics",59,95,81,60,64,82,76,88,75,70,73,Robotics engineer,BSc in Computer Science
ID0048,Student 48,17,"Physics, Problem Solving, Research","Science, Innovation","Physics Club, Volunteering",56,87,80,65,62,81,52,90,78,62,73,Lecturer,BSc in Physics
ID0049,Student 49,17,"Chemistry, Problem Solving, Innovation","Technology, Engineering","Math Club, Chess",91,81,82,60,60,79,60,82,79,75,80,Resident Engineer,BEng in Civil and structural Engineering
ID0050,Student 50,18,"Mathematics, Logical Reasoning, Research","Business, Management","Coding Club, Hackathons",60,70,74,68,69,60,88,96,67,73,64,Marketing Analyst,BBA in Business Administration
ID0051,Student 51,17,"Programming, Teamwork, Critical Thinking","Science, Technology","Football, Drama Club",88,76,76,63,65,94,70,81,63,53,65,Biologist,BSc in BioChemistry
ID0052,Student 52,17,"Leadership, Communication, Data Analysis","Science, Innovation","Student Council, Debate Club",95,84,76,71,70,91,82,81,75,79,84,Clinical Officer,BSc in Clinical Medicine
ID0053,Student 53,19,"Physics, Problem Solving, Research","Technology, Engineering","Science Club, Robotics",94,76,78,61,74,89,54,83,89,84,82,Robotics engineer,BEng in Mechatronics Engineering
ID0054,Student 54,18,"Chemistry, Problem Solving, Innovation","Business, Management","Physics Club, Volunteering",60,85,76,68,69,94,65,83,75,70,76,AI specialist,BSc in Computer Science
ID0055,Student 55,17,"Mathematics, Logical Reasoning, Research","Science, Technology","Math Club, Chess",74,93,75,74,62,81,66,85,62,68,74,Full stackl Developer,BSc in Computer Science
ID0056,Student 56,18,"Programming, Teamwork, Critical Thinking","Science, Innovation","Coding Club, Hackathons",67,82,83,67,66,80,57,84,61,67,74,Machine Learning Engineer,BSc in Data Science
ID0057,Student 57,17,"Leadership, Communication, Data Analysis","Technology, Engineering","Football, Drama Club",63,87,76,68,65,83,58,92,61,55,63,Computer Scientist,BSc in Maths and Computing Science
ID0058,Student 58,17,"Physics, Problem Solving, Research","Business, Management","Student Council, Debate Club",65,72,73,68,68,50,60,96,68,67,63,Business Manager,BSc in Commerce
ID0059,Student 59,17,"Chemistry, Problem Solving, Innovation","Science, Technology","Science Club, Robotics",56,80,78,72,73,81,60,94,62,72,75,Software Developer,BSc in Computer Science
ID0060,Student 60,18,"Mathematics, Logical Reasoning, Research","Science, Innovation","Physics Club, Volunteering",56,84,82,63,69,57,52,84,83,79,80,Data Analyst,BSc in Software Engineering
ID0061,Student 61,18,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Math Club, Chess",59,81,78,69,67,86,84,82,70,73,78,Computer Scientist,BSc in Computer Science
ID0062,Student 62,18,"Leadership, Communication, Data Analysis","Business, Management","Coding Club, Hackathons",65,50,66,73,73,51,67,88,65,65,67,Veterinary,B of Veterinary Medicine and Surgery
ID0063,Student 63,19,"Physics, Problem Solving, Research","Science, Technology","Football, Drama Club",51,61,63,64,74,82,73,89,68,66,60,Astronomer,BSc in Meteorology
ID0064,Student 64,17,"Chemistry, Problem Solving, Innovation","Science, Innovation","Student Council, Debate Club",65,75,80,69,73,94,52,92,68,72,76,Cryptographer,BSc in Data Science
ID0065,Student 65,19,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Science Club, Robotics",74,69,71,81,64,51,78,84,68,63,55,Human Rights Advocate,LLB in Law
ID0066,Student 66,19,"Programming, Teamwork, Critical Thinking","Business, Management","Physics Club, Volunteering",75,95,77,73,84,88,90,94,92,83,83,Computer Scientist,BEng in Telecommunication Engineering
ID0067,Student 67,17,"Leadership, Communication, Data Analysis","Science, Technology","Math Club, Chess",90,91,82,69,62,89,66,91,91,77,81,Computer Scientist,BSc in Software Engineering
ID0068,Student 68,17,"Physics, Problem Solving, Research","Science, Innovation","Coding Club, Hackathons",73,79,84,65,71,82,59,97,66,69,75,Cybersecurity Analyst,BSc in Cybersecurity
ID0069,Student 69,17,"Chemistry, Problem Solving, Innovation","Technology, Engineering","Football, Drama Club",56,59,72,71,68,60,57,93,75,54,64,Climate Analyst,BSc in Geography
ID0070,Student 70,18,"Mathematics, Logical Reasoning, Research","Business, Management","Student Council, Debate Club",64,54,75,72,80,86,89,86,77,59,64,Software Developer,BSc in Information Technology
ID0071,Student 71,19,"Programming, Teamwork, Critical Thinking","Science, Technology","Science Club, Robotics",89,86,77,73,68,77,59,93,75,81,84,Research Scientist,BEng in Mechatronics Engineering
ID0072,Student 72,18,"Leadership, Communication, Data Analysis","Science, Innovation","Physics Club, Volunteering",58,95,78,65,60,84,63,95,71,71,78,Data Analyst,BSc in Data Science
ID0073,Student 73,19,"Physics, Problem Solving, Research","Technology, Engineering","Math Club, Chess",73,54,80,72,74,87,55,83,65,67,78,Tech Innovator,BSc in Library and Information Science
ID0074,Student 74,17,"Chemistry, Problem Solving, Innovation","Business, Management","Coding Club, Hackathons",75,73,65,61,71,67,85,84,72,69,68,Scientist,BSc in Business Computing
ID0075,Student 75,18,"Mathematics, Logical Reasoning, Research","Science, Technology","Football, Drama Club",51,85,84,69,65,91,85,94,65,65,67,Physicist,BSc in Physics
ID0076,Student 76,17,"Programming, Teamwork, Critical Thinking","Science, Innovation","Student Council, Debate Club",79,87,84,61,63,85,57,84,76,55,73,Lab Scientist,BSc in Biotechnology and Biosafety
ID0077,Student 77,19,"Leadership, Communication, Data Analysis","Technology, Engineering","Science Club, Robotics",58,81,84,65,69,82,80,90,75,73,76,Research Scientist,BSc in Cybersecurity
ID0078,Student 78,19,"Physics, Problem Solving, Research","Business, Management","Physics Club, Volunteering",66,65,70,73,70,81,71,86,60,54,71,Mathematician,BSc in Astronomy
ID0079,Student 79,19,"Languages, Problem Solving, Innovation","Science, Technology","Math Club, Chess",72,76,74,83,62,86,84,89,70,53,57,Political Scientist,BA in Political Science
ID0080,Student 80,17,"Mathematics, Logical Reasoning, Research","Science, Innovation","Coding Club, Hackathons",55,76,81,63,70,88,84,85,75,70,76,AI Specialist,BSc in Computer Science
ID0081,Student 81,18,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Football, Drama Club",66,64,66,72,67,69,58,95,73,65,68,Surveyor,BSc in Quantity Surveying
ID0082,Student 82,17,"Leadership, Communication, Data Analysis","Business, Management","Student Council, Debate Club",91,90,79,69,62,84,73,98,77,83,78,Computer Scientist,BSc in Software Engineering
ID0083,Student 83,19,"Physics, Problem Solving, Research","Science, Technology","Science Club, Robotics",90,84,78,71,65,86,56,89,85,77,81,Medical Professional,BSc in Clinical Medicine
ID0084,Student 84,17,"Chemistry, Problem Solving, Innovation","Science, Innovation","Physics Club, Volunteering",79,79,83,63,70,86,57,85,92,84,83,Doctor,MBBS in Medicine
ID0085,Student 85,19,"Languages, Logical Reasoning, Research","Technology, History","Debate Club, Chess",60,76,68,75,60,56,85,88,76,64,69,Human Rights Advocate,LLB in Law
ID0086,Student 86,17,"Programming, Teamwork, Critical Thinking","Business, Management","Coding Club, Hackathons",73,78,66,68,72,63,54,84,64,67,66,Project Manager,BSc in Project Planning And Management
ID0087,Student 87,19,"Leadership, Communication, Data Analysis","Science, Technology","Football, Drama Club",53,75,70,74,68,57,76,84,72,61,65,Astronomer,BSc in Meteorology
ID0088,Student 88,19,"Physics, Problem Solving, Research","Science, Innovation","Student Council, Science club",89,88,79,70,70,84,57,80,91,81,81,Medical Professional,BSc in Clinical Medicine
ID0089,Student 89,19,"Programming, Problem Solving, Innovation","Technology, Engineering","Science Club, Robotics",65,83,80,65,71,82,60,96,60,70,78,Computer Scientist,BSc in Applied Computer Science
ID0090,Student 90,18,"Mathematics, Logical Reasoning, Research","Business, Management","Physics Club, Volunteering",70,74,74,66,73,66,84,96,70,69,60,Project Manager,BSc in Marketing
ID0091,Student 91,17,"Programming, Teamwork, Critical Thinking","Science, Technology","Math Club, Chess",86,85,75,65,71,88,74,93,83,75,83,Tech Innovator,BSc in Software Engineering
ID0092,Student 92,17,"Leadership, Communication, Data Analysis","Science, Innovation","Coding Club, Hackathons",57,68,72,76,72,85,75,92,62,65,53,Human Rights Advocate,BA In Political Science And Public Administration
ID0093,Student 93,18,"Physics, Problem Solving, Research","Technology, Engineering","Football, Drama Club",60,68,61,65,62,65,71,94,68,71,76,Research Scientist,BSc in Cybersecurity
ID0094,Student 94,19,"Chemistry, Problem Solving, Innovation","Business, Science","Student Council, Debate Club",87,57,74,73,67,76,77,81,92,80,81,Medical Nurse,Bsc in Nursing And Public Health
ID0095,Student 95,17,"Mathematics, Logical Reasoning, Research","Science, Technology","Science Club, Robotics",79,77,79,68,61,75,80,92,88,73,81,Veterinary,B of Veterinary Medicine and Surgery
ID0096,Student 96,18,"Programming, Teamwork, Critical Thinking","Science, Innovation","Physics Club, Volunteering",70,57,70,79,64,76,79,84,74,62,61,Social Worker,BA in Community Development
ID0097,Student 97,19,"Leadership, Communication, Data Analysis","Technology, Science","Math Club, Chess",70,55,68,69,61,56,58,82,73,64,61,Health Officer,Bsc in Nursing And Public Health
ID0098,Student 98,17,"Physics, Problem Solving, Research","Business, Management","Coding Club, Hackathons",58,93,82,71,64,90,73,92,75,71,73,Mathematician,BSc in Computer Science
ID0099,Student 99,17,"Chemistry, Problem Solving, Innovation","Science, Technology","Football, Drama Club",60,66,69,72,65,77,63,82,74,53,64,Chemist,B of Phamarcy
ID0100,Student 100,18,"Mathematics, Logical Reasoning, Research","Science, Innovation","Student Council, Debate Club",90,65,62,63,72,78,53,86,85,78,82,Medical Professional,BSc in Clinical Medicine
ID0101,Student 101,17,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Science Club, Robotics",69,79,75,64,62,90,65,97,75,57,70,Biostatistician,BSc in Maths and Computing Science
ID0102,Student 102,18,"Leadership, Communication, Data Analysis","Business, Management","Physics Club, Volunteering",69,69,60,73,65,72,67,91,73,50,72,Astronomer,BSc in Meteorology
ID0103,Student 103,17,"Physics, Problem Solving, Research","Science, Technology","Math Club, Chess",65,93,81,64,62,86,51,98,61,72,77,Data Scientist,BSc in Data Science
ID0104,Student 104,17,"Chemistry, Problem Solving, Innovation","Science, Innovation","Coding Club, Hackathons",66,72,73,76,68,71,90,97,73,61,56,Public Speaker,LLB in Law
ID0105,Student 105,19,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Football, Drama Club",90,87,79,74,67,82,61,89,76,75,81,Doctor,MBBS in Medicine
ID0106,Student 106,18,"Programming, Teamwork, Critical Thinking","Business, Management","Student Council, Debate Club",50,80,76,65,65,88,72,84,75,71,76,NLP Engineer,BSc in Computer Science
ID0107,Student 107,17,"Leadership, Communication, Data Analysis","Science, Technology","Science Club, Robotics",70,79,76,67,62,80,55,91,73,73,77,Business Analyst,BSc in Data Science
ID0108,Student 108,17,"Physics, Problem Solving, Research","Science, Innovation","Physics Club, Volunteering",64,78,84,73,60,86,58,95,63,66,67,Quantum Computing Researcher,BSc in Applied Physics
ID0109,Student 109,19,"Chemistry, Problem Solving, Innovation","Technology, Engineering","Math Club, Chess",91,80,78,69,65,86,64,94,62,53,70,Molecular Biologist,BSc in BioChemistry
ID0110,Student 110,19,"Mathematics, Logical Reasoning, Research","Business, Management","Coding Club, Hackathons",68,62,63,73,70,68,79,86,91,82,79,Grants Manager,BSc in Commerce
ID0111,Student 111,19,"Programming, Teamwork, Critical Thinking","Science, Technology","Football, Drama Club",75,72,83,67,64,80,71,82,75,70,74,UX designer,BSc in Information Technology
ID0112,Student 112,19,"Leadership, Communication, Data Analysis","Science, Innovation","Student Council, Debate Club",68,85,84,70,71,77,57,97,64,56,71,Physicist,BSc in Physics
ID0113,Student 113,17,"Physics, Problem Solving, Research","Technology, Engineering","Science Club, Robotics",63,88,79,70,61,81,84,84,61,55,65,Climate Research,BSc in Physics
ID0114,Student 114,18,"Chemistry, Problem Solving, Innovation","Business, Management","Physics Club, Volunteering",61,87,75,62,60,86,50,86,71,61,68,Research Scientist,BSc in Business Computing
ID0115,Student 115,19,"Mathematics, Logical Reasoning, Research","Science, Technology","Math Club, Chess",73,85,82,67,69,94,56,95,60,58,72,Electronics Engineer,BSc in Physics
ID0116,Student 116,18,"Programming, Teamwork, Critical Thinking","Science, Innovation","Coding Club, Hackathons",91,78,77,61,74,81,80,92,65,63,65,Medical Professional,BSc in Microbiology
ID0117,Student 117,17,"Leadership, Communication, Data Analysis","Technology, Engineering","Football, Drama Club",65,62,66,65,65,74,91,85,60,70,71,Content Strategist,BSc in Marketing
ID0118,Student 118,18,"Physics, Problem Solving, Research","Business, Management","Student Council, Debate Club",67,57,69,74,61,83,66,98,67,63,67,Copywriter,BA in Theatre Arts and Film Technology
ID0119,Student 119,18,"Chemistry, Problem Solving, Innovation","Science, Technology","Science Club, Robotics",64,83,80,67,70,63,61,86,73,66,71,Analytical Chemist,BSc in Analytical Chemistry
ID0120,Student 120,18,"Mathematics, Logical Reasoning, Research","Science, Innovation","Science Club, Volunteering",73,65,64,67,63,69,56,83,61,60,67,Pharmaceutical Chemist,B of Phamarcy
ID0121,Student 121,17,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Math Club, Physics Club",55,94,80,61,69,82,65,81,73,61,63,Physical Chemist,B of Pharmacy
ID0122,Student 122,17,"Leadership, Communication, Data Analysis","Business, Management","Coding Club, Hackathons",63,62,74,70,63,80,79,88,70,68,60,Strategist,BSc in Marketing
ID0123,Student 123,19,"Physics, Problem Solving, Research","Science, Technology","Football, Drama Club",77,81,83,61,61,88,79,83,65,56,72,Research Scientist,BSc in Biotechnology and Biosafety
ID0124,Student 124,18,"Chemistry, Problem Solving, Physics","Science, Innovation","Student Council, Debate Club",83,84,83,73,60,76,66,90,81,81,83,Organic Chemist,B of Pharmacy
ID0125,Student 125,19,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Science Club, Robotics",55,65,60,60,66,73,77,97,63,70,63,Financial Advisor,BBA in Business Administration
ID0126,Student 126,17,"Programming, Teamwork, Critical Thinking","Business, Management","Physics Club, Volunteering",72,95,78,65,64,91,60,83,71,61,66,Business Developer,BSc in Maths and Statistics
ID0127,Student 127,17,"Leadership, Communication, Data Analysis","Science, Technology","Math Club, Chess",63,80,73,83,70,59,81,84,60,55,60,Graphic Designer,BA in Fine Arts
ID0128,Student 128,19,"Physics, Problem Solving, Research","Science, Innovation","Coding Club, Hackathons",57,95,83,73,66,93,62,95,66,62,68,Lecturer,BSc in Mathematics
ID0129,Student 129,19,"Chemistry, Problem Solving, Innovation","Technology, Engineering","Football, Drama Club",94,82,80,74,71,78,57,91,92,78,84,Clinical Lab Technician,BEng in Chemical Engineering
ID0130,Student 130,18,"Mathematics, Logical Reasoning, Research","Business, Management","Student Council, Debate Club",57,63,61,67,73,85,90,82,62,67,64,Business Manager,BSc in Entrepreneurship And Small Enterprises Management
ID0131,Student 131,19,"Programming, Teamwork, Critical Thinking","Science, Technology","Science Club, Robotics",75,86,84,72,63,77,65,94,89,77,80,Research Engineer,BEng in Automotive Engineering
ID0132,Student 132,17,"Leadership, Communication, Data Analysis","Science, Innovation","Physics Club, Volunteering",89,77,76,60,63,83,50,86,79,77,84,Biomedical Engineer,BEng in Biomedical Engineering
ID0133,Student 133,17,"Physics, Problem Solving, Research","Technology, Engineering","Math Club, Chess",79,90,80,61,72,93,67,91,86,79,84,Embedded Systems Engineer,BSc in Software Engineering
ID0134,Student 134,19,"Chemistry, Problem Solving, Innovation","Business, Management","Coding Club, Hackathons",82,91,78,63,69,91,50,89,90,83,82,Dentist,MBBS in Medicine
ID0135,Student 135,18,"Languages, Logical Reasoning, Research","Human rights, Technology","Football, Drama Club",56,67,74,76,67,58,84,89,61,56,54,Advocate,LLB in Law
ID0136,Student 136,18,"Programming, Teamwork, Critical Thinking","Science, Innovation","Student Council, Debate Club",75,71,83,67,62,79,84,88,78,54,73,Lecturer,BSc in Mathematics
ID0137,Student 137,18,"Leadership, Communication, Data Analysis","Technology, Engineering","Science Club, Robotics",74,85,81,68,69,84,68,91,63,52,80,Robotics & Automation Specialist,BSc in Data Science
ID0138,Student 138,18,"Physics, Problem Solving, Research","Business, Management","Physics Club, Volunteering",70,61,71,76,74,61,90,93,73,65,55,Hydrologist,BSc in Geography
ID0139,Student 139,19,"Chemistry, Problem Solving, Innovation","Science, Technology","Math Club, Chess",75,84,76,65,73,89,70,91,78,71,73,Statistician,BSc in Data Science
ID0140,Student 140,19,"Mathematics, Logical Reasoning, Research","Science, Innovation","Coding Club, Hackathons",71,64,74,74,70,85,69,94,78,62,64,Climate Analyst,BSc in Astronomy
ID0141,Student 141,17,"Programming, Teamwork, Critical Thinking","Technology, Engineering","Football, Drama Club",53,82,83,62,72,79,58,87,72,54,65,Minerals Researcher,BSc in Earth Science
ID0142,Student 142,18,"Leadership, Communication, Data Analysis","Business, Management","Student Council, Debate Club",53,77,65,83,65,78,85,97,75,57,52,Product designer,BA in Arts
ID0143,Student 143,19,"Languages, Problem Solving, Research","Science, Technology","Science Club, Robotics",68,71,71,61,77,69,88,94,78,66,70,Writer,"BA in Linguistics, Media And Communication"
ID0144,Student 144,18,"Chemistry, Problem Solving, Innovation","Science, Innovation","Physics Club, Volunteering",53,72,68,79,73,70,91,85,76,67,58,Human Rights Advocate,BA in Gender And Development Studies
ID0145,Student 145,18,"Mathematics, Logical Reasoning, Research","Technology, Engineering","Math Club, Chess",74,75,72,80,84,77,85,96,72,61,55,Public Speaker,BA in Journalism and Mass Communication
ID0146,Student 146,17,"Leadership, Teamwork, Critical Thinking","Business, Management","Debate Club, Hackathons",60,72,60,70,80,88,93,92,78,52,60,Corporate Affairs Executive,BSc in Corporate Communication And Management
ID0147,Student 147,19,"Leadership, Communication, Data Analysis","Science, Technology","Football, Drama Club",61,51,69,76,83,54,75,80,78,52,57,Policy Analyst,BA in Philosophy
ID0148,Student 148,19,"Physics, Problem Solving, Research","Science, Innovation","Student Council, Debate Club",71,61,62,67,83,65,84,94,63,57,65,Artist,BA in Arts
ID0149,Student 149,18,"Analytical Thinking, Data Analysis, Communication","Agriculture, Economics","Agricultural Club, Debate Team",58,67,74,74,68,51,95,90,70,69,63,Agricultural Planning Officer,Bsc in Agricultural Economics And Marketing
ID0150,Student 150,17,"Communication, Creativity, Branding","Marketing, Media","Debate Club, Marketing Society",56,53,70,64,75,77,85,92,62,64,63,Brand Communications Executive,BA in Communication and Public Relations
ID0151,Student 151,18,"Interpersonal Skills, Conflict Resolution, Organizational Skills","Human Resources, Psychology","Students Association, Volunteer Club",73,74,71,68,61,85,54,92,61,68,70,Human Resource Officer,BSc in Human Resource Management
ID0152,Student 152,19,"Agricultural Management, Financial Analysis, Leadership","Agribusiness, Sustainable Farming","Agricultural Club, Entrepreneurship Club",63,74,74,62,64,82,75,96,73,71,70,Agriculture Officer,BSc in Agribusiness Management And Enterprise Development
ID0153,Student 153,18,"Writing, Research, Interviewing","Journalism, Current Affairs","School Newspaper, Drama Club",74,68,70,81,77,61,95,89,74,53,53,News Reporter,BA In Journalism and Mass Communication
